[/bin/bash] ## This is shankaras1 on #HOSTNAME and job ID 2361454
[/bin/bash] Current working directory: /home/shankaras1/data1/Maj_WH
[/bin/bash] Running Python script
##### NOW beta =  1 ############

itern =  1  , diff =  81.17845667496837 81.17845667496837  , x =  0.25 0.25
itern =  2  , diff =  19.617809477829038 19.617809477829038  , x =  0.25 0.25
itern =  3  , diff =  14.52336313389487 14.52336313389487  , x =  0.25 0.25
itern =  4  , diff =  10.745593077402766 10.745593077402766  , x =  0.25 0.25
itern =  5  , diff =  7.945755642706576 7.945755642706576  , x =  0.25 0.25
itern =  6  , diff =  5.871874012162532 5.871874012162532  , x =  0.25 0.25
itern =  7  , diff =  4.336606696466593 4.336606696466593  , x =  0.25 0.25
itern =  8  , diff =  3.2007384287347573 3.2007384287347573  , x =  0.25 0.25
itern =  9  , diff =  2.3608707043877253 2.3608707043877253  , x =  0.25 0.25
itern =  10  , diff =  1.7402477748892087 1.7402477748892087  , x =  0.25 0.25
itern =  11  , diff =  1.2819225478015692 1.2819225478015692  , x =  0.25 0.25
itern =  12  , diff =  0.9436679498962977 0.9436679498962977  , x =  0.25 0.25
itern =  13  , diff =  0.6941897647495321 0.6941897647495321  , x =  0.25 0.25
itern =  14  , diff =  0.5103094646316946 0.5103094646316946  , x =  0.25 0.25
itern =  15  , diff =  0.3748696547454665 0.3748696547454665  , x =  0.25 0.25
itern =  16  , diff =  0.27517758618230936 0.27517758618230936  , x =  0.25 0.25
itern =  17  , diff =  0.2018491293031512 0.2018491293031512  , x =  0.25 0.25
itern =  18  , diff =  0.1479506429521043 0.1479506429521043  , x =  0.25 0.25
itern =  19  , diff =  0.10836232953398774 0.10836232953398774  , x =  0.25 0.25
itern =  20  , diff =  0.07930617820911702 0.07930617820911702  , x =  0.25 0.25
itern =  21  , diff =  0.05799614892869132 0.05799614892869132  , x =  0.25 0.25
itern =  22  , diff =  0.042379095556474046 0.042379095556474046  , x =  0.25 0.25
itern =  23  , diff =  0.030943006442351526 0.030943006442351526  , x =  0.25 0.25
itern =  24  , diff =  0.02257515775928872 0.02257515775928872  , x =  0.25 0.25
itern =  25  , diff =  0.01645725318396578 0.01645725318396578  , x =  0.25 0.25
itern =  26  , diff =  0.011987954880270907 0.011987954880270907  , x =  0.25 0.25
itern =  27  , diff =  0.008725687619633589 0.008725687619633589  , x =  0.25 0.25
itern =  28  , diff =  0.006346438419100644 0.006346438419100644  , x =  0.25 0.25
itern =  29  , diff =  0.004612641030966142 0.004612641030966142  , x =  0.25 0.25
itern =  30  , diff =  0.0033502492495532934 0.0033502492495532934  , x =  0.25 0.25
itern =  31  , diff =  0.0024318556923031524 0.0024318556923031524  , x =  0.25 0.25
itern =  32  , diff =  0.0017642707616409665 0.0017642707616409665  , x =  0.25 0.25
itern =  33  , diff =  0.0012793899879774626 0.0012793899879774626  , x =  0.25 0.25
itern =  34  , diff =  0.0009274841499867588 0.0009274841499867588  , x =  0.25 0.25
itern =  35  , diff =  0.0006722731699578933 0.0006722731699578933  , x =  0.25 0.25
itern =  36  , diff =  0.0004873123850986301 0.0004873123850986301  , x =  0.25 0.25
itern =  37  , diff =  0.00035334366261467233 0.00035334366261467233  , x =  0.25 0.25
itern =  38  , diff =  0.0002563553329815749 0.0002563553329815749  , x =  0.25 0.25
itern =  39  , diff =  0.00018616245677601436 0.00018616245677601436  , x =  0.25 0.25
itern =  40  , diff =  0.00013536876251682434 0.00013536876251682434  , x =  0.25 0.25
itern =  41  , diff =  9.860832081603239e-05 9.860832081603239e-05  , x =  0.25 0.25
##### NOW beta =  2 ############

itern =  1  , diff =  262.3425309575047 262.3425309575047  , x =  0.25 0.25
itern =  2  , diff =  66.04340684229052 66.04340684229052  , x =  0.25 0.25
itern =  3  , diff =  49.17449763115225 49.17449763115225  , x =  0.25 0.25
itern =  4  , diff =  36.664889893753255 36.664889893753255  , x =  0.25 0.25
itern =  5  , diff =  27.832207196913068 27.832207196913068  , x =  0.25 0.25
itern =  6  , diff =  21.060664509187916 21.060664509187916  , x =  0.25 0.25
itern =  7  , diff =  15.886514896035862 15.886514896035862  , x =  0.25 0.25
itern =  8  , diff =  11.94645770461804 11.94645770461804  , x =  0.25 0.25
itern =  9  , diff =  8.956052045227388 8.956052045227388  , x =  0.25 0.25
