[/bin/bash] ## This is shankaras1 on #HOSTNAME and job ID 2364560
[/bin/bash] Current working directory: /home/shankaras1/data1/Maj_WH
[/bin/bash] Running Python script
##### NOW beta =  101 ############

itern =  1  , diff =  11.194270647526984 11.194270647526984  , x =  0.25 0.25
itern =  2  , diff =  10.179852553188773 10.179852553188773  , x =  0.25 0.25
itern =  3  , diff =  12.175705241783854 12.175705241783854  , x =  0.125 0.125
itern =  4  , diff =  4.700486439411157 4.700486439411157  , x =  0.125 0.125
itern =  5  , diff =  2.596475877385977 2.596475877385977  , x =  0.125 0.125
itern =  6  , diff =  1.6106554453581456 1.6106554453581456  , x =  0.125 0.125
itern =  7  , diff =  4.111423079260678 4.111423079260678  , x =  0.0625 0.0625
itern =  8  , diff =  2.969894005932202 2.969894005932202  , x =  0.0625 0.0625
itern =  9  , diff =  3.001082643518131 3.001082643518131  , x =  0.03125 0.03125
itern =  10  , diff =  1.460530592527489 1.460530592527489  , x =  0.03125 0.03125
itern =  11  , diff =  1.383457599230094 1.383457599230094  , x =  0.03125 0.03125
itern =  12  , diff =  1.2833546860716878 1.2833546860716878  , x =  0.03125 0.03125
itern =  13  , diff =  1.1656140531011854 1.1656140531011854  , x =  0.03125 0.03125
itern =  14  , diff =  1.0356528567620347 1.0356528567620347  , x =  0.03125 0.03125
itern =  15  , diff =  0.8985233879482325 0.8985233879482325  , x =  0.03125 0.03125
itern =  16  , diff =  0.7586719185628643 0.7586719185628643  , x =  0.03125 0.03125
itern =  17  , diff =  0.6198196273738215 0.6198196273738215  , x =  0.03125 0.03125
itern =  18  , diff =  0.4849389789250271 0.4849389789250271  , x =  0.03125 0.03125
itern =  19  , diff =  0.3562963747779046 0.3562963747779046  , x =  0.03125 0.03125
itern =  20  , diff =  0.23553736887207882 0.23553736887207882  , x =  0.03125 0.03125
itern =  21  , diff =  0.12395906775530555 0.12395906775530555  , x =  0.03125 0.03125
itern =  22  , diff =  0.18002922623037976 0.18002922623037976  , x =  0.015625 0.015625
itern =  23  , diff =  0.1296025955717649 0.1296025955717649  , x =  0.015625 0.015625
itern =  24  , diff =  0.14663972469002806 0.14663972469002806  , x =  0.0078125 0.0078125
itern =  25  , diff =  0.08112169489695509 0.08112169489695509  , x =  0.0078125 0.0078125
itern =  26  , diff =  0.08469047427971278 0.08469047427971278  , x =  0.00390625 0.00390625
itern =  27  , diff =  0.04404408809187309 0.04404408809187309  , x =  0.00390625 0.00390625
itern =  28  , diff =  0.04485330196745428 0.04485330196745428  , x =  0.001953125 0.001953125
itern =  29  , diff =  0.02282085987628909 0.02282085987628909  , x =  0.001953125 0.001953125
itern =  30  , diff =  0.023013030971581916 0.023013030971581916  , x =  0.0009765625 0.0009765625
itern =  31  , diff =  0.011601320632996785 0.011601320632996785  , x =  0.0009765625 0.0009765625
itern =  32  , diff =  0.011648112656029557 0.011648112656029557  , x =  0.0009765625 0.0009765625
itern =  33  , diff =  0.011694587049895136 0.011694587049895136  , x =  0.0009765625 0.0009765625
itern =  34  , diff =  0.01174074454391199 0.01174074454391199  , x =  0.0009765625 0.0009765625
itern =  35  , diff =  0.011786585867892021 0.011786585867892021  , x =  0.0009765625 0.0009765625
itern =  36  , diff =  0.01183211175247779 0.01183211175247779  , x =  0.0009765625 0.0009765625
itern =  37  , diff =  0.01187732292857745 0.01187732292857745  , x =  0.0009765625 0.0009765625
itern =  38  , diff =  0.011922220127789075 0.011922220127789075  , x =  0.0009765625 0.0009765625
itern =  39  , diff =  0.01196680408219333 0.01196680408219333  , x =  0.0009765625 0.0009765625
itern =  40  , diff =  0.012011075524242847 0.012011075524242847  , x =  0.0009765625 0.0009765625
itern =  41  , diff =  0.012055035187016781 0.012055035187016781  , x =  0.0009765625 0.0009765625
itern =  42  , diff =  0.012098683803824513 0.012098683803824513  , x =  0.0009765625 0.0009765625
itern =  43  , diff =  0.012142022108547278 0.012142022108547278  , x =  0.0009765625 0.0009765625
itern =  44  , diff =  0.012185050835357938 0.012185050835357938  , x =  0.0009765625 0.0009765625
itern =  45  , diff =  0.012227770718864382 0.012227770718864382  , x =  0.0009765625 0.0009765625
itern =  46  , diff =  0.01227018249390276 0.01227018249390276  , x =  0.0009765625 0.0009765625
itern =  47  , diff =  0.012312286895797109 0.012312286895797109  , x =  0.0009765625 0.0009765625
itern =  48  , diff =  0.012354084660000259 0.012354084660000259  , x =  0.0009765625 0.0009765625
itern =  49  , diff =  0.012395576522264196 0.012395576522264196  , x =  0.0009765625 0.0009765625
itern =  50  , diff =  0.012436763218742142 0.012436763218742142  , x =  0.0009765625 0.0009765625
itern =  51  , diff =  0.012477645485668157 0.012477645485668157  , x =  0.0009765625 0.0009765625
itern =  52  , diff =  0.0125182240595737 0.0125182240595737  , x =  0.0009765625 0.0009765625
itern =  53  , diff =  0.01255849967714775 0.01255849967714775  , x =  0.0009765625 0.0009765625
itern =  54  , diff =  0.01259847307525268 0.01259847307525268  , x =  0.0009765625 0.0009765625
itern =  55  , diff =  0.012638144990971243 0.012638144990971243  , x =  0.0009765625 0.0009765625
itern =  56  , diff =  0.012677516161449572 0.012677516161449572  , x =  0.0009765625 0.0009765625
itern =  57  , diff =  0.012716587323998586 0.012716587323998586  , x =  0.0009765625 0.0009765625
itern =  58  , diff =  0.012755359216004136 0.012755359216004136  , x =  0.0009765625 0.0009765625
itern =  59  , diff =  0.012793832574937627 0.012793832574937627  , x =  0.0009765625 0.0009765625
itern =  60  , diff =  0.012832008138323022 0.012832008138323022  , x =  0.0009765625 0.0009765625
itern =  61  , diff =  0.012869886643712417 0.012869886643712417  , x =  0.0009765625 0.0009765625
