[/bin/bash] ## This is shankaras1 on #HOSTNAME and job ID 2436702
[/bin/bash] Current working directory: /home/shankaras1/data1/Maj_WH
[/bin/bash] Running Python script
Outputs directory created
Dump directory created
dw =  2.3968449809785852e-05
dt =  0.0625
T Target =  0.0004997501249375312
itern =  13  , diff =  80142.01587865432  , x =  0.01
itern =  14  , diff =  77753.96787752653  , x =  0.01
itern =  15  , diff =  75716.8950955236  , x =  0.01
itern =  16  , diff =  73951.56952553344  , x =  0.01
itern =  17  , diff =  72375.7502282373  , x =  0.01
itern =  18  , diff =  70956.84043367782  , x =  0.01
itern =  19  , diff =  69742.41308585079  , x =  0.01
itern =  20  , diff =  69084.93513321219  , x =  0.01
itern =  21  , diff =  86131.74803324578  , x =  0.01
itern =  22  , diff =  66779.97403413593  , x =  0.01
itern =  23  , diff =  64367.63470944745  , x =  0.01
itern =  24  , diff =  62744.03446982807  , x =  0.01
itern =  25  , diff =  61310.79829149117  , x =  0.01
itern =  26  , diff =  59970.97326537977  , x =  0.01
itern =  27  , diff =  58691.90040974763  , x =  0.01
itern =  28  , diff =  57458.656603965224  , x =  0.01
itern =  29  , diff =  56263.160632510306  , x =  0.01
itern =  30  , diff =  55100.511273036405  , x =  0.01
itern =  31  , diff =  53967.4743766984  , x =  0.01
itern =  32  , diff =  52861.76798606095  , x =  0.01
itern =  33  , diff =  51781.69068821885  , x =  0.01
itern =  34  , diff =  50725.91398413338  , x =  0.01
itern =  35  , diff =  49693.359544446226  , x =  0.01
itern =  36  , diff =  48683.123250196295  , x =  0.01
itern =  37  , diff =  47694.426370176865  , x =  0.01
itern =  38  , diff =  46726.58316142591  , x =  0.01
itern =  39  , diff =  45778.97877336443  , x =  0.01
itern =  40  , diff =  44851.05381935272  , x =  0.01
itern =  41  , diff =  43942.2933796828  , x =  0.01
itern =  42  , diff =  43052.21901869198  , x =  0.01
itern =  43  , diff =  42180.38289255449  , x =  0.01
itern =  44  , diff =  41326.36333052562  , x =  0.01
itern =  45  , diff =  40489.761466981654  , x =  0.01
itern =  46  , diff =  39670.1986280147  , x =  0.01
itern =  47  , diff =  38867.31426027713  , x =  0.01
itern =  48  , diff =  38080.76424677274  , x =  0.01
itern =  49  , diff =  37310.219493980534  , x =  0.01
itern =  50  , diff =  36555.36470319331  , x =  0.01
itern =  51  , diff =  35815.89726017082  , x =  0.01
itern =  52  , diff =  35091.52619366526  , x =  0.01
itern =  53  , diff =  34381.97116674521  , x =  0.01
itern =  54  , diff =  33686.961476117554  , x =  0.01
itern =  55  , diff =  33006.23504446276  , x =  0.01
itern =  56  , diff =  32339.537399493798  , x =  0.01
itern =  57  , diff =  31686.620641131507  , x =  0.01
itern =  58  , diff =  31047.242404877787  , x =  0.01
itern =  59  , diff =  30421.164835055268  , x =  0.01
itern =  60  , diff =  29808.15358594703  , x =  0.01
itern =  61  , diff =  29207.976871840336  , x =  0.01
itern =  62  , diff =  28620.40458847356  , x =  0.01
itern =  63  , diff =  28045.207528281113  , x =  0.01
itern =  64  , diff =  27482.156710186868  , x =  0.01
itern =  65  , diff =  26931.02284157564  , x =  0.01
itern =  66  , diff =  26391.575925686986  , x =  0.01
itern =  67  , diff =  25863.58502231898  , x =  0.01
itern =  68  , diff =  25346.818163770302  , x =  0.01
itern =  69  , diff =  24841.042421795886  , x =  0.01
