[/bin/bash] ## This is shankaras1 on #HOSTNAME and job ID 2436703
[/bin/bash] Current working directory: /home/shankaras1/data1/Maj_WH
[/bin/bash] Running Python script
Outputs directory created
Dump directory created
dw =  2.3968449809785852e-05
dt =  0.0625
T Target =  0.0004997501249375312
itern =  1  , diff =  65857.09768704428  , x =  0.01
itern =  2  , diff =  124189.4890545298  , x =  0.01
itern =  3  , diff =  119159.15855447452  , x =  0.01
itern =  4  , diff =  110108.40966769148  , x =  0.01
itern =  5  , diff =  99549.79873734948  , x =  0.01
itern =  6  , diff =  97361.12626876241  , x =  0.01
itern =  7  , diff =  95530.47545257099  , x =  0.01
itern =  8  , diff =  92544.22182299387  , x =  0.01
itern =  9  , diff =  89556.20807378337  , x =  0.01
itern =  10  , diff =  86826.43795378905  , x =  0.01
itern =  11  , diff =  84352.78139983838  , x =  0.01
itern =  12  , diff =  82089.83166381546  , x =  0.01
itern =  13  , diff =  79995.26659732978  , x =  0.01
itern =  14  , diff =  78035.37644263849  , x =  0.01
itern =  15  , diff =  76184.62165991726  , x =  0.01
itern =  16  , diff =  74424.0575551108  , x =  0.01
itern =  17  , diff =  72739.58139402434  , x =  0.01
itern =  18  , diff =  71120.53213820996  , x =  0.01
itern =  19  , diff =  69558.70285589804  , x =  0.01
itern =  20  , diff =  68047.71064812838  , x =  0.01
itern =  21  , diff =  66582.68278135435  , x =  0.01
itern =  22  , diff =  65160.15382361731  , x =  0.01
itern =  23  , diff =  63777.879672635274  , x =  0.01
itern =  24  , diff =  62434.28361496476  , x =  0.01
itern =  25  , diff =  61127.76206676983  , x =  0.01
itern =  26  , diff =  59856.377574315164  , x =  0.01
itern =  27  , diff =  58617.99879787665  , x =  0.01
itern =  28  , diff =  57410.55536989083  , x =  0.01
itern =  29  , diff =  56232.19328169698  , x =  0.01
itern =  30  , diff =  55081.31787848288  , x =  0.01
itern =  31  , diff =  53956.57576749289  , x =  0.01
itern =  32  , diff =  52856.81587152633  , x =  0.01
itern =  33  , diff =  51781.04922910742  , x =  0.01
itern =  34  , diff =  50728.41452741409  , x =  0.01
itern =  35  , diff =  49698.15068284683  , x =  0.01
itern =  36  , diff =  48689.575734889615  , x =  0.01
itern =  37  , diff =  47702.07081308759  , x =  0.01
itern =  38  , diff =  46735.06799307034  , x =  0.01
itern =  39  , diff =  45788.04107125432  , x =  0.01
itern =  40  , diff =  44860.498511003214  , x =  0.01
itern =  41  , diff =  43951.97800084422  , x =  0.01
itern =  42  , diff =  43062.04221113553  , x =  0.01
itern =  43  , diff =  42190.27544478866  , x =  0.01
itern =  44  , diff =  41336.28095812633  , x =  0.01
itern =  45  , diff =  40499.67878685299  , x =  0.01
itern =  46  , diff =  39680.1039551467  , x =  0.01
