Outputs directory created
Dump directory created
dw =  0.00019174759848539225
dt =  0.0625
T Target =  0.004975124378109453
itern =  99  , diff =  9.669137114669269  , x =  0.01733922509575584
itern =  100  , diff =  11.699356190814182  , x =  0.01733922509575584
itern =  101  , diff =  11.699286235818503  , x =  0.019073147605331426
itern =  102  , diff =  14.156479287566267  , x =  0.019073147605331426
itern =  103  , diff =  14.157214559808656  , x =  0.019073147605331426
itern =  104  , diff =  14.158452731047705  , x =  0.019073147605331426
itern =  105  , diff =  14.16018483190759  , x =  0.019073147605331426
itern =  106  , diff =  14.162403500110685  , x =  0.019073147605331426
itern =  107  , diff =  14.165102865950168  , x =  0.019073147605331426
itern =  108  , diff =  14.16827844301478  , x =  0.019073147605331426
itern =  109  , diff =  14.171927024202995  , x =  0.019073147605331426
itern =  110  , diff =  14.176046583066482  , x =  0.019073147605331426
itern =  111  , diff =  14.180636180523255  , x =  0.019073147605331426
itern =  112  , diff =  14.185695876978192  , x =  0.019073147605331426
itern =  113  , diff =  14.191226649883065  , x =  0.019073147605331426
itern =  114  , diff =  14.197230316760718  , x =  0.019073147605331426
itern =  115  , diff =  14.203709463706883  , x =  0.019073147605331426
itern =  116  , diff =  14.210667379372563  , x =  0.019073147605331426
itern =  117  , diff =  14.218107994413865  , x =  0.019073147605331426
itern =  118  , diff =  14.22603582638379  , x =  0.019073147605331426
itern =  119  , diff =  14.234455930020548  , x =  0.019073147605331426
itern =  120  , diff =  14.243373852873493  , x =  0.019073147605331426
itern =  121  , diff =  14.252795596186568  , x =  0.019073147605331426
itern =  122  , diff =  14.262727580943453  , x =  0.019073147605331426
itern =  123  , diff =  14.273176618959415  , x =  0.019073147605331426
itern =  124  , diff =  14.28414988888661  , x =  0.019073147605331426
itern =  125  , diff =  14.295654916983182  , x =  0.019073147605331426
itern =  126  , diff =  14.307699562478819  , x =  0.019073147605331426
itern =  127  , diff =  14.320292007354194  , x =  0.019073147605331426
itern =  128  , diff =  14.333440750335962  , x =  0.019073147605331426
itern =  129  , diff =  14.347154604897245  , x =  0.019073147605331426
itern =  130  , diff =  14.361442701038962  , x =  0.019073147605331426
itern =  131  , diff =  14.376314490619313  , x =  0.019073147605331426
itern =  132  , diff =  14.391779755987702  , x =  0.019073147605331426
itern =  133  , diff =  14.407848621673246  , x =  0.019073147605331426
itern =  134  , diff =  14.42453156887275  , x =  0.019073147605331426
itern =  135  , diff =  14.441839452478316  , x =  0.019073147605331426
itern =  136  , diff =  14.459783520384283  , x =  0.019073147605331426
itern =  137  , diff =  14.47837543481272  , x =  0.019073147605331426
itern =  138  , diff =  14.49762729539852  , x =  0.019073147605331426
itern =  139  , diff =  14.517551663779955  , x =  0.019073147605331426
itern =  140  , diff =  14.538161589444766  , x =  0.019073147605331426
itern =  141  , diff =  14.55947063659092  , x =  0.019073147605331426
itern =  142  , diff =  14.581492911768569  , x =  0.019073147605331426
itern =  143  , diff =  14.60424309208198  , x =  0.019073147605331426
itern =  144  , diff =  14.627736453741093  , x =  0.019073147605331426
itern =  145  , diff =  14.651988900766394  , x =  0.019073147605331426
itern =  146  , diff =  14.677016993665463  , x =  0.019073147605331426
itern =  147  , diff =  14.702837977915346  , x =  0.019073147605331426
itern =  148  , diff =  14.729469812101335  , x =  0.019073147605331426
itern =  149  , diff =  14.75693119558087  , x =  0.019073147605331426
itern =  150  , diff =  14.785241595558963  , x =  0.019073147605331426
itern =  151  , diff =  14.81442127348063  , x =  0.019073147605331426
itern =  152  , diff =  14.8444913106644  , x =  0.019073147605331426
itern =  153  , diff =  14.875473633120995  , x =  0.019073147605331426
itern =  154  , diff =  14.907391035519375  , x =  0.019073147605331426
itern =  155  , diff =  14.940267204282783  , x =  0.019073147605331426
itern =  156  , diff =  14.97412673981509  , x =  0.019073147605331426
itern =  157  , diff =  15.008995177877305  , x =  0.019073147605331426
itern =  158  , diff =  15.044899010151125  , x =  0.019073147605331426
itern =  159  , diff =  15.081865704044558  , x =  0.019073147605331426
itern =  160  , diff =  15.11992372181064  , x =  0.019073147605331426
itern =  161  , diff =  15.159102539066563  , x =  0.019073147605331426
itern =  162  , diff =  15.199432662815575  , x =  0.019073147605331426
itern =  163  , diff =  15.24094564908675  , x =  0.019073147605331426
itern =  164  , diff =  15.283674120323315  , x =  0.019073147605331426
itern =  165  , diff =  15.32765178265926  , x =  0.019073147605331426
itern =  166  , diff =  15.372913443237662  , x =  0.019073147605331426
itern =  167  , diff =  15.419495027732586  , x =  0.019073147605331426
itern =  168  , diff =  15.467433598246208  , x =  0.019073147605331426
itern =  169  , diff =  15.516767371761087  , x =  0.019073147605331426
itern =  170  , diff =  15.56753573933445  , x =  0.019073147605331426
itern =  171  , diff =  15.619779286228379  , x =  0.019073147605331426
itern =  172  , diff =  15.673539813175148  , x =  0.019073147605331426
itern =  173  , diff =  15.728860358982523  , x =  0.019073147605331426
itern =  174  , diff =  15.785785224688045  , x =  0.019073147605331426
itern =  175  , diff =  15.844359999475563  , x =  0.019073147605331426
itern =  176  , diff =  15.904631588571656  , x =  0.019073147605331426
itern =  177  , diff =  15.966648243341664  , x =  0.019073147605331426
itern =  178  , diff =  16.030459593810235  , x =  0.019073147605331426
itern =  179  , diff =  16.096116683833568  , x =  0.019073147605331426
itern =  180  , diff =  16.163672009154077  , x =  0.019073147605331426
itern =  181  , diff =  16.23317955857247  , x =  0.019073147605331426
itern =  182  , diff =  16.30469485847623  , x =  0.019073147605331426
itern =  183  , diff =  16.378275020967262  , x =  0.019073147605331426
itern =  184  , diff =  16.453978795838353  , x =  0.019073147605331426
itern =  185  , diff =  16.531866626652  , x =  0.019073147605331426
itern =  186  , diff =  16.61200071118381  , x =  0.019073147605331426
itern =  187  , diff =  16.694445066499345  , x =  0.019073147605331426
itern =  188  , diff =  16.779265598942708  , x =  0.019073147605331426
itern =  189  , diff =  16.866530179325387  , x =  0.019073147605331426
itern =  190  , diff =  16.95630872361543  , x =  0.019073147605331426
itern =  191  , diff =  17.048673279440145  , x =  0.019073147605331426
itern =  192  , diff =  17.143698118731063  , x =  0.019073147605331426
itern =  193  , diff =  17.241459836855473  , x =  0.019073147605331426
itern =  194  , diff =  17.342037458599165  , x =  0.019073147605331426
itern =  195  , diff =  17.445512551384738  , x =  0.019073147605331426
itern =  196  , diff =  17.5519693461342  , x =  0.019073147605331426
itern =  197  , diff =  17.661494866210205  , x =  0.019073147605331426
itern =  198  , diff =  17.774179064899002  , x =  0.019073147605331426
itern =  199  , diff =  17.890114971930654  , x =  0.019073147605331426
itern =  200  , diff =  18.009398849566885  , x =  0.019073147605331426
itern =  201  , diff =  18.132130358825915  , x =  0.019073147605331426
itern =  202  , diff =  18.258412736456666  , x =  0.019073147605331426
itern =  203  , diff =  18.388352983321315  , x =  0.019073147605331426
itern =  204  , diff =  18.522062064897476  , x =  0.019073147605331426
itern =  205  , diff =  18.659655124667985  , x =  0.019073147605331426
itern =  206  , diff =  18.80125171122814  , x =  0.019073147605331426
itern =  207  , diff =  18.946976020009412  , x =  0.019073147605331426
itern =  208  , diff =  19.096957150593553  , x =  0.019073147605331426
itern =  209  , diff =  19.251329380673166  , x =  0.019073147605331426
itern =  210  , diff =  19.410232457805577  , x =  0.019073147605331426
itern =  211  , diff =  19.57381191020628  , x =  0.019073147605331426
itern =  212  , diff =  19.742219377937396  , x =  0.019073147605331426
itern =  213  , diff =  19.915612965965636  , x =  0.019073147605331426
itern =  214  , diff =  20.094157620697775  , x =  0.019073147605331426
itern =  215  , diff =  20.278025531744497  , x =  0.019073147605331426
itern =  216  , diff =  20.467396560825843  , x =  0.019073147605331426
itern =  217  , diff =  20.66245869990423  , x =  0.019073147605331426
itern =  218  , diff =  20.863408560828514  , x =  0.019073147605331426
itern =  219  , diff =  21.070451898983613  , x =  0.019073147605331426
itern =  220  , diff =  21.28380417367976  , x =  0.019073147605331426
itern =  221  , diff =  21.50369114827479  , x =  0.019073147605331426
itern =  222  , diff =  21.73034953331445  , x =  0.019073147605331426
itern =  223  , diff =  21.964027676296595  , x =  0.019073147605331426
itern =  224  , diff =  22.204986302021663  , x =  0.019073147605331426
itern =  225  , diff =  22.453499307887373  , x =  0.019073147605331426
itern =  226  , diff =  22.709854618928436  , x =  0.019073147605331426
itern =  227  , diff =  22.974355107890517  , x =  0.019073147605331426
itern =  228  , diff =  23.247319586177397  , x =  0.019073147605331426
itern =  229  , diff =  23.529083872120893  , x =  0.019073147605331426
itern =  230  , diff =  23.820001943707375  , x =  0.019073147605331426
itern =  231  , diff =  24.120447183660577  , x =  0.019073147605331426
itern =  232  , diff =  24.430813725640046  , x =  0.019073147605331426
itern =  233  , diff =  24.751517911278615  , x =  0.019073147605331426
itern =  234  , diff =  25.0829998688689  , x =  0.019073147605331426
itern =  235  , diff =  25.42572522573045  , x =  0.019073147605331426
itern =  236  , diff =  25.78018696767172  , x =  0.019073147605331426
itern =  237  , diff =  26.146907460519703  , x =  0.019073147605331426
itern =  238  , diff =  26.526440650458802  , x =  0.019073147605331426
itern =  239  , diff =  26.91937446192412  , x =  0.019073147605331426
itern =  240  , diff =  27.32633341407155  , x =  0.019073147605331426
itern =  241  , diff =  27.747981479439165  , x =  0.019073147605331426
itern =  242  , diff =  28.185025211367982  , x =  0.019073147605331426
itern =  243  , diff =  28.638217170130282  , x =  0.019073147605331426
itern =  244  , diff =  29.10835968158161  , x =  0.019073147605331426
itern =  245  , diff =  29.596308966596848  , x =  0.019073147605331426
itern =  246  , diff =  30.102979684663147  , x =  0.019073147605331426
itern =  247  , diff =  30.629349940895636  , x =  0.019073147605331426
itern =  248  , diff =  31.176466812543044  , x =  0.019073147605331426
itern =  249  , diff =  31.74545245891141  , x =  0.019073147605331426
itern =  250  , diff =  32.33751088774536  , x =  0.019073147605331426
itern =  251  , diff =  32.953935461696396  , x =  0.019073147605331426
itern =  252  , diff =  33.59611724087935  , x =  0.019073147605331426
